Timestamp,Temperature,Humidity,Location,Date,Time
4/19/21 15:51,23,21,Library,4/19/21,15:51:00
4/19/21 15:53,22,21,Library,4/19/21,15:53:00
4/19/21 15:55,22,21,Library,4/19/21,15:55:00
4/19/21 15:57,22,21,Library,4/19/21,15:57:00
4/19/21 15:59,22,21,Library,4/19/21,15:59:00
4/19/21 16:01,22,21,Library,4/19/21,16:01:00
4/19/21 16:03,22,21,Library,4/19/21,16:03:00
4/19/21 16:05,22,21,Library,4/19/21,16:05:00
4/19/21 16:07,22,21,Library,4/19/21,16:07:00
4/19/21 16:09,22,21,Library,4/19/21,16:09:00
4/19/21 16:11,22,21,Library,4/19/21,16:11:00
4/19/21 16:13,22,21,Library,4/19/21,16:13:00
4/19/21 16:15,22,21,Library,4/19/21,16:15:00
4/19/21 16:17,22,21,Library,4/19/21,16:17:00
4/19/21 16:19,22,21,Library,4/19/21,16:19:00
4/19/21 16:21,22,21,Library,4/19/21,16:21:00
4/19/21 16:23,22,21,Library,4/19/21,16:23:00
4/19/21 16:25,22,21,Library,4/19/21,16:25:00
4/19/21 16:27,22,21,Library,4/19/21,16:27:00
4/19/21 16:29,22,21,Library,4/19/21,16:29:00
4/19/21 16:31,22,21,Library,4/19/21,16:31:00
4/19/21 16:33,22,21,Library,4/19/21,16:33:00
4/19/21 16:35,22,21,Library,4/19/21,16:35:00
4/19/21 16:37,22,21,Library,4/19/21,16:37:00
4/19/21 16:39,22,21,Library,4/19/21,16:39:00
4/19/21 16:41,22,22,Library,4/19/21,16:41:00
4/19/21 16:43,22,22,Library,4/19/21,16:43:00
4/19/21 16:45,22,21,Library,4/19/21,16:45:00
4/19/21 16:47,22,21,Library,4/19/21,16:47:00
4/19/21 16:49,22,21,Library,4/19/21,16:49:00
4/19/21 16:51,22,21,Library,4/19/21,16:51:00
4/20/21 9:18,22,31,Department,4/20/21,9:18:00
4/20/21 9:20,22,27,Department,4/20/21,9:20:00
4/20/21 9:22,23,24,Department,4/20/21,9:22:00
4/20/21 9:24,24,24,Department,4/20/21,9:24:00
4/20/21 9:26,24,24,Department,4/20/21,9:26:00
4/20/21 9:28,24,23,Department,4/20/21,9:28:00
4/20/21 9:30,24,23,Department,4/20/21,9:30:00
4/20/21 9:32,24,23,Department,4/20/21,9:32:00
4/20/21 9:34,24,23,Department,4/20/21,9:34:00
4/20/21 9:36,24,23,Department,4/20/21,9:36:00
4/20/21 9:38,24,23,Department,4/20/21,9:38:00
4/20/21 9:40,24,23,Department,4/20/21,9:40:00
4/20/21 9:42,24,23,Department,4/20/21,9:42:00
4/20/21 9:44,24,24,Department,4/20/21,9:44:00
4/20/21 9:46,24,23,Department,4/20/21,9:46:00
4/20/21 9:48,24,23,Department,4/20/21,9:48:00
4/20/21 9:50,24,23,Department,4/20/21,9:50:00
4/20/21 9:52,24,23,Department,4/20/21,9:52:00
4/20/21 9:54,24,23,Department,4/20/21,9:54:00
4/20/21 9:56,24,23,Department,4/20/21,9:56:00
4/20/21 9:58,24,23,Department,4/20/21,9:58:00
4/20/21 10:00,24,23,Department,4/20/21,10:00:00
4/20/21 10:02,25,23,Department,4/20/21,10:02:00
4/20/21 10:04,25,23,Department,4/20/21,10:04:00
4/20/21 10:06,25,23,Department,4/20/21,10:06:00
4/20/21 10:08,25,23,Department,4/20/21,10:08:00
4/20/21 10:10,25,23,Department,4/20/21,10:10:00
4/20/21 10:12,25,23,Department,4/20/21,10:12:00
4/20/21 10:14,25,23,Department,4/20/21,10:14:00
4/20/21 10:16,25,23,Department,4/20/21,10:16:00
4/20/21 10:18,25,22,Department,4/20/21,10:18:00
4/20/21 10:20,26,23,Department,4/20/21,10:20:00
4/20/21 10:22,27,22,Department,4/20/21,10:22:00
4/20/21 10:24,27,22,Department,4/20/21,10:24:00
4/20/21 10:26,26,22,Department,4/20/21,10:26:00
4/20/21 10:28,26,22,Department,4/20/21,10:28:00
4/20/21 10:30,25,22,Department,4/20/21,10:30:00
4/20/21 10:32,25,22,Department,4/20/21,10:32:00
4/20/21 10:34,25,22,Department,4/20/21,10:34:00
4/20/21 10:36,25,22,Department,4/20/21,10:36:00
4/20/21 10:38,25,22,Department,4/20/21,10:38:00
4/20/21 10:40,25,22,Department,4/20/21,10:40:00
4/20/21 10:42,25,22,Department,4/20/21,10:42:00
4/20/21 10:44,25,22,Department,4/20/21,10:44:00
4/20/21 10:46,24,23,Department,4/20/21,10:46:00
4/20/21 10:48,24,23,Department,4/20/21,10:48:00
4/20/21 10:50,24,23,Department,4/20/21,10:50:00
4/20/21 10:52,24,23,Department,4/20/21,10:52:00
4/20/21 10:54,24,23,Department,4/20/21,10:54:00
4/20/21 10:56,24,23,Department,4/20/21,10:56:00
4/20/21 10:58,24,23,Department,4/20/21,10:58:00
4/20/21 11:00,24,23,Department,4/20/21,11:00:00
4/20/21 11:02,24,23,Department,4/20/21,11:02:00
4/20/21 11:04,24,23,Department,4/20/21,11:04:00
4/20/21 11:06,24,23,Department,4/20/21,11:06:00
4/20/21 11:08,24,23,Department,4/20/21,11:08:00
4/20/21 11:10,24,23,Department,4/20/21,11:10:00
4/20/21 11:12,24,23,Department,4/20/21,11:12:00
4/20/21 11:14,24,23,Department,4/20/21,11:14:00
4/20/21 11:16,24,23,Department,4/20/21,11:16:00
4/20/21 11:18,24,23,Department,4/20/21,11:18:00
4/21/21 18:55,23,29,Home,4/21/21,18:55:00
4/21/21 18:57,22,29,Home,4/21/21,18:57:00
4/21/21 18:59,22,29,Home,4/21/21,18:59:00
4/21/21 19:01,22,30,Home,4/21/21,19:01:00
4/21/21 19:03,22,31,Home,4/21/21,19:03:00
4/21/21 19:05,22,31,Home,4/21/21,19:05:00
4/21/21 19:07,22,31,Home,4/21/21,19:07:00
4/21/21 19:09,22,31,Home,4/21/21,19:09:00
4/21/21 19:11,22,31,Home,4/21/21,19:11:00
4/21/21 19:13,22,31,Home,4/21/21,19:13:00
4/21/21 19:15,22,31,Home,4/21/21,19:15:00
4/21/21 19:17,22,31,Home,4/21/21,19:17:00
4/21/21 19:19,22,31,Home,4/21/21,19:19:00
4/21/21 19:21,22,31,Home,4/21/21,19:21:00
4/21/21 19:23,22,30,Home,4/21/21,19:23:00
4/21/21 19:25,23,30,Home,4/21/21,19:25:00
4/21/21 19:27,23,31,Home,4/21/21,19:27:00
4/21/21 19:29,23,30,Home,4/21/21,19:29:00
4/21/21 19:31,23,30,Home,4/21/21,19:31:00
4/21/21 19:33,23,30,Home,4/21/21,19:33:00
4/21/21 19:35,23,30,Home,4/21/21,19:35:00
4/21/21 19:37,23,30,Home,4/21/21,19:37:00
4/21/21 19:39,23,29,Home,4/21/21,19:39:00
4/21/21 19:41,23,30,Home,4/21/21,19:41:00
4/21/21 19:43,23,29,Home,4/21/21,19:43:00
4/21/21 19:45,23,29,Home,4/21/21,19:45:00
4/21/21 19:47,23,29,Home,4/21/21,19:47:00
4/21/21 19:49,23,29,Home,4/21/21,19:49:00
4/21/21 19:51,23,29,Home,4/21/21,19:51:00
4/21/21 19:53,23,29,Home,4/21/21,19:53:00
4/21/21 19:55,22,29,Home,4/21/21,19:55:00
4/21/21 19:57,22,29,Home,4/21/21,19:57:00
4/21/21 19:59,22,29,Home,4/21/21,19:59:00
4/21/21 20:01,22,28,Home,4/21/21,20:01:00
